"old_nc_name","new_nc_name","nc_id","Month","Avg deployment"
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2021-10-01,55
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2021-11-01,59
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2021-12-01,45
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2020-01-01,26
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2020-02-01,40
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2020-03-01,30
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2020-04-01,2
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2020-05-01,5
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2020-06-01,13
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2020-07-01,22
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2020-08-01,26
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2020-09-01,31
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2020-10-01,32
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2020-11-01,20
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2020-12-01,17
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2019-01-01,0
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2019-02-01,0
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2019-03-01,1
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2019-04-01,19
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2019-05-01,35
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2019-06-01,39
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2019-07-01,51
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2019-08-01,55
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2019-09-01,51
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2019-10-01,52
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2019-11-01,47
"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",50,2019-12-01,37
"CANOGA PARK NC","CANOGA PARK NC",13,2022-01-01,3
"CANOGA PARK NC","CANOGA PARK NC",13,2022-02-01,2
"CANOGA PARK NC","CANOGA PARK NC",13,2022-03-01,3
"CANOGA PARK NC","CANOGA PARK NC",13,2022-04-01,5
"CANOGA PARK NC","CANOGA PARK NC",13,2022-05-01,2
"CANOGA PARK NC","CANOGA PARK NC",13,2022-06-01,1
"CANOGA PARK NC","CANOGA PARK NC",13,2022-07-01,1
"CANOGA PARK NC","CANOGA PARK NC",13,2022-08-01,13
"CANOGA PARK NC","CANOGA PARK NC",13,2022-09-01,25
"CANOGA PARK NC","CANOGA PARK NC",13,2022-10-01,NA
"CANOGA PARK NC","CANOGA PARK NC",13,2022-11-01,NA
"CANOGA PARK NC","CANOGA PARK NC",13,2022-12-01,NA
"CANOGA PARK NC","CANOGA PARK NC",13,2021-01-01,1
"CANOGA PARK NC","CANOGA PARK NC",13,2021-02-01,9
"CANOGA PARK NC","CANOGA PARK NC",13,2021-03-01,11
"CANOGA PARK NC","CANOGA PARK NC",13,2021-04-01,3
"CANOGA PARK NC","CANOGA PARK NC",13,2021-05-01,4
"CANOGA PARK NC","CANOGA PARK NC",13,2021-06-01,11
"CANOGA PARK NC","CANOGA PARK NC",13,2021-07-01,9
"CANOGA PARK NC","CANOGA PARK NC",13,2021-08-01,9
"CANOGA PARK NC","CANOGA PARK NC",13,2021-09-01,8
"CANOGA PARK NC","CANOGA PARK NC",13,2021-10-01,8
"CANOGA PARK NC","CANOGA PARK NC",13,2021-11-01,5
"CANOGA PARK NC","CANOGA PARK NC",13,2021-12-01,4
"CANOGA PARK NC","CANOGA PARK NC",13,2020-01-01,0
"CANOGA PARK NC","CANOGA PARK NC",13,2020-02-01,0
"CANOGA PARK NC","CANOGA PARK NC",13,2020-03-01,1
"CANOGA PARK NC","CANOGA PARK NC",13,2020-04-01,0
"CANOGA PARK NC","CANOGA PARK NC",13,2020-05-01,0
