"NC_ID","data_nc_name","cert_name","month_yr","avg_depl"
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2019-05-01,35
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2019-06-01,39
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2019-07-01,51
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2019-08-01,55
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2019-09-01,51
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2019-10-01,52
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2019-11-01,47
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2019-12-01,37
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2020-01-01,26
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2020-02-01,40
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2020-03-01,30
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2020-04-01,2
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2020-05-01,5
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2020-06-01,13
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2020-07-01,22
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2020-08-01,26
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2020-09-01,31
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2020-10-01,32
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2020-11-01,20
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2020-12-01,17
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2021-01-01,12
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2021-02-01,15
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2021-03-01,25
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2021-04-01,32
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2021-05-01,38
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2021-06-01,53
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2021-07-01,57
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2021-08-01,46
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2021-09-01,49
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2021-10-01,55
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2021-11-01,59
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2021-12-01,45
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2022-01-01,40
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2022-02-01,52
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2022-03-01,54
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2022-04-01,62
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2022-05-01,71
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2022-06-01,72
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2022-07-01,70
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2022-08-01,54
50,"BOYLE HEIGHTS NC","BOYLE HEIGHTS NC",2022-09-01,68
13,"CANOGA PARK NC","CANOGA PARK NC",2019-01-01,0
13,"CANOGA PARK NC","CANOGA PARK NC",2019-02-01,0
13,"CANOGA PARK NC","CANOGA PARK NC",2019-03-01,0
13,"CANOGA PARK NC","CANOGA PARK NC",2019-04-01,8
13,"CANOGA PARK NC","CANOGA PARK NC",2019-05-01,8
13,"CANOGA PARK NC","CANOGA PARK NC",2019-06-01,6
13,"CANOGA PARK NC","CANOGA PARK NC",2019-07-01,10
13,"CANOGA PARK NC","CANOGA PARK NC",2019-08-01,14
13,"CANOGA PARK NC","CANOGA PARK NC",2019-09-01,18
13,"CANOGA PARK NC","CANOGA PARK NC",2019-10-01,13
13,"CANOGA PARK NC","CANOGA PARK NC",2019-11-01,10
13,"CANOGA PARK NC","CANOGA PARK NC",2019-12-01,4
13,"CANOGA PARK NC","CANOGA PARK NC",2020-01-01,0
13,"CANOGA PARK NC","CANOGA PARK NC",2020-02-01,0
13,"CANOGA PARK NC","CANOGA PARK NC",2020-03-01,1
13,"CANOGA PARK NC","CANOGA PARK NC",2020-04-01,0
13,"CANOGA PARK NC","CANOGA PARK NC",2020-05-01,0
13,"CANOGA PARK NC","CANOGA PARK NC",2020-06-01,0
13,"CANOGA PARK NC","CANOGA PARK NC",2020-07-01,0
13,"CANOGA PARK NC","CANOGA PARK NC",2020-08-01,0
13,"CANOGA PARK NC","CANOGA PARK NC",2020-09-01,1
13,"CANOGA PARK NC","CANOGA PARK NC",2020-10-01,1
13,"CANOGA PARK NC","CANOGA PARK NC",2020-11-01,4
13,"CANOGA PARK NC","CANOGA PARK NC",2020-12-01,3
13,"CANOGA PARK NC","CANOGA PARK NC",2021-01-01,1
13,"CANOGA PARK NC","CANOGA PARK NC",2021-02-01,9
13,"CANOGA PARK NC","CANOGA PARK NC",2021-03-01,11
13,"CANOGA PARK NC","CANOGA PARK NC",2021-04-01,3
13,"CANOGA PARK NC","CANOGA PARK NC",2021-05-01,4
13,"CANOGA PARK NC","CANOGA PARK NC",2021-06-01,11
13,"CANOGA PARK NC","CANOGA PARK NC",2021-07-01,9
13,"CANOGA PARK NC","CANOGA PARK NC",2021-08-01,9
13,"CANOGA PARK NC","CANOGA PARK NC",2021-09-01,8
13,"CANOGA PARK NC","CANOGA PARK NC",2021-10-01,8
13,"CANOGA PARK NC","CANOGA PARK NC",2021-11-01,5
13,"CANOGA PARK NC","CANOGA PARK NC",2021-12-01,4
13,"CANOGA PARK NC","CANOGA PARK NC",2022-01-01,3
13,"CANOGA PARK NC","CANOGA PARK NC",2022-02-01,2
13,"CANOGA PARK NC","CANOGA PARK NC",2022-03-01,3
13,"CANOGA PARK NC","CANOGA PARK NC",2022-04-01,5
13,"CANOGA PARK NC","CANOGA PARK NC",2022-05-01,2
13,"CANOGA PARK NC","CANOGA PARK NC",2022-06-01,1
13,"CANOGA PARK NC","CANOGA PARK NC",2022-07-01,1
13,"CANOGA PARK NC","CANOGA PARK NC",2022-08-01,13
13,"CANOGA PARK NC","CANOGA PARK NC",2022-09-01,25
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2019-01-01,0
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2019-02-01,0
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2019-03-01,1
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2019-04-01,6
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2019-05-01,6
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2019-06-01,8
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2019-07-01,16
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2019-08-01,17
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2019-09-01,15
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2019-10-01,12
110,"CENTRAL ALAMEDA NC","CENTRAL ALAMEDA NC",2019-11-01,11
